counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
2,448.19,440.00,0.57,472.70,440.00,0.38,473.55,440.00,0.39
3,453.88,440.00,0.51,485.67,440.00,0.22,487.49,440.00,0.22
4,455.18,440.00,0.48,486.43,440.00,0.13,489.13,440.00,0.11
5,456.62,440.00,0.44,481.78,440.00,0.07,479.59,440.00,0.08
6,455.18,440.00,0.41,471.62,440.00,0.05,469.65,440.00,0.07
7,452.60,440.00,0.40,460.25,440.00,0.07,459.47,440.00,0.09
8,448.31,450.00,0.65,452.28,450.00,0.63,450.34,450.00,0.64
1,447.89,450.00,0.66,458.07,450.00,0.58,455.75,450.00,0.60
2,459.35,450.00,0.59,483.84,450.00,0.39,484.84,450.00,0.39
3,462.96,450.00,0.54,497.05,450.00,0.23,498.13,450.00,0.22
4,468.75,450.00,0.47,499.03,450.00,0.12,499.03,450.00,0.12
5,467.29,450.00,0.45,490.04,450.00,0.08,489.51,450.00,0.09
6,465.96,450.00,0.42,482.95,450.00,0.05,478.66,450.00,0.09
7,461.07,450.00,0.42,472.39,450.00,0.06,470.77,450.00,0.08
8,456.39,460.00,0.68,461.30,460.00,0.65,460.79,460.00,0.65
1,462.44,460.00,0.65,470.62,460.00,0.58,465.44,460.00,0.62
2,468.31,460.00,0.60,494.93,460.00,0.39,495.09,460.00,0.40
3,474.17,460.00,0.54,505.91,460.00,0.24,508.78,460.00,0.23
4,476.31,460.00,0.50,507.61,460.00,0.14,509.87,460.00,0.13
5,475.82,460.00,0.47,501.09,460.00,0.09,500.94,460.00,0.09
6,477.01,460.00,0.43,492.51,460.00,0.07,490.28,460.00,0.08
7,471.70,460.00,0.43,482.96,460.00,0.07,477.71,460.00,0.11
8,468.78,470.00,0.68,473.08,470.00,0.65,471.39,470.00,0.66
1,470.22,470.00,0.67,481.07,470.00,0.59,478.97,470.00,0.61
2,476.73,470.00,0.63,499.03,470.00,0.44,503.57,470.00,0.42
3,486.03,470.00,0.55,522.53,470.00,0.22,517.35,470.00,0.25
4,485.93,470.00,0.52,518.15,470.00,0.14,517.11,470.00,0.16
5,488.83,470.00,0.46,514.12,470.00,0.07,510.20,470.00,0.11
6,485.51,470.00,0.45,503.07,470.00,0.06,501.88,470.00,0.09
7,482.72,470.00,0.44,492.03,470.00,0.08,492.57,470.00,0.09
8,475.96,480.00,0.71,484.37,480.00,0.66,479.83,480.00,0.69
1,482.28,480.00,0.68,488.75,480.00,0.62,488.97,480.00,0.62
2,489.08,480.00,0.63,516.22,480.00,0.41,516.56,480.00,0.41
3,495.55,480.00,0.56,525.78,480.00,0.27,528.44,480.00,0.26
4,494.33,480.00,0.54,529.06,480.00,0.15,526.91,480.00,0.17
5,498.27,480.00,0.48,522.78,480.00,0.10,523.62,480.00,0.10
6,495.78,480.00,0.46,514.21,480.00,0.07,509.73,480.00,0.11
7,491.07,480.00,0.47,504.07,480.00,0.07,501.55,480.00,0.11
8,488.27,490.00,0.71,495.17,490.00,0.66,492.65,490.00,0.68
1,488.93,490.00,0.71,501.06,490.00,0.61,495.93,490.00,0.65
2,499.21,490.00,0.64,521.16,490.00,0.45,523.68,490.00,0.45
3,503.41,490.00,0.59,536.59,490.00,0.28,537.37,490.00,0.28
4,506.29,490.00,0.55,540.01,490.00,0.16,537.85,490.00,0.19
5,507.28,490.00,0.51,536.13,490.00,0.09,532.75,490.00,0.13
6,505.22,490.00,0.49,524.48,490.00,0.08,523.28,490.00,0.11
7,502.04,490.00,0.48,515.54,490.00,0.07,513.48,490.00,0.11
8,497.25,500.00,0.73,505.38,500.00,0.68,502.76,500.00,0.69
1,500.16,500.00,0.72,510.20,500.00,0.63,508.13,500.00,0.65
2,510.20,500.00,0.65,532.99,500.00,0.45,533.00,500.00,0.46
3,511.20,500.00,0.62,548.46,500.00,0.28,547.53,500.00,0.29
4,516.11,500.00,0.56,548.72,500.00,0.18,548.33,500.00,0.19
5,518.20,500.00,0.52,545.78,500.00,0.10,542.77,500.00,0.14
6,514.98,500.00,0.50,534.07,500.00,0.09,533.25,500.00,0.12
7,512.60,500.00,0.49,524.01,500.00,0.09,523.34,500.00,0.12
8,507.80,510.00,0.74,516.22,510.00,0.69,512.21,510.00,0.71
1,511.08,510.00,0.73,522.85,510.00,0.63,521.32,510.00,0.64
2,515.17,510.00,0.69,542.41,510.00,0.46,542.33,510.00,0.48
3,523.60,510.00,0.63,556.85,510.00,0.30,556.59,510.00,0.31
4,524.90,510.00,0.59,557.83,510.00,0.20,558.36,510.00,0.21
5,528.71,510.00,0.53,552.49,510.00,0.14,553.57,510.00,0.14
6,524.45,510.00,0.52,542.54,510.00,0.12,545.10,510.00,0.11
7,521.00,510.00,0.52,535.45,510.00,0.11,534.07,510.00,0.12
8,521.97,520.00,0.73,526.44,520.00,0.70,522.29,520.00,0.73
1,520.75,520.00,0.73,532.61,520.00,0.64,530.01,520.00,0.67
2,526.27,520.00,0.69,552.22,520.00,0.48,549.94,520.00,0.51
3,531.75,520.00,0.64,564.20,520.00,0.33,568.27,520.00,0.32
4,535.04,520.00,0.60,568.74,520.00,0.21,568.64,520.00,0.22
5,534.49,520.00,0.57,563.03,520.00,0.15,563.47,520.00,0.16
6,535.22,520.00,0.54,554.48,520.00,0.13,554.30,520.00,0.14
7,531.09,520.00,0.53,546.62,520.00,0.11,545.27,520.00,0.13
8,530.54,530.00,0.75,536.93,530.00,0.71,534.15,530.00,0.73
1,529.99,530.00,0.76,540.30,530.00,0.67,538.60,530.00,0.69
2,535.49,530.00,0.72,562.90,530.00,0.49,559.12,530.00,0.53
3,544.36,530.00,0.64,574.71,530.00,0.34,577.33,530.00,0.34
4,544.58,530.00,0.61,578.13,530.00,0.23,579.12,530.00,0.23
5,543.57,530.00,0.59,575.89,530.00,0.15,573.08,530.00,0.18
6,542.15,530.00,0.58,566.53,530.00,0.12,565.68,530.00,0.14
7,543.56,530.00,0.54,555.64,530.00,0.13,556.16,530.00,0.14
8,537.59,540.00,0.79,548.42,540.00,0.71,544.10,540.00,0.74
1,542.21,540.00,0.76,553.20,540.00,0.66,549.41,540.00,0.70
2,541.80,540.00,0.76,571.04,540.00,0.51,572.93,540.00,0.51
3,557.21,540.00,0.65,588.42,540.00,0.33,586.36,540.00,0.35
4,552.36,540.00,0.65,588.37,540.00,0.23,588.92,540.00,0.24
5,554.29,540.00,0.61,580.92,540.00,0.19,581.97,540.00,0.19
6,555.90,540.00,0.57,575.39,540.00,0.14,575.25,540.00,0.16
7,551.41,540.00,0.57,567.62,540.00,0.13,565.78,540.00,0.15
8,549.19,550.00,0.79,558.07,550.00,0.73,554.68,550.00,0.75
1,548.78,550.00,0.80,560.16,550.00,0.70,562.94,550.00,0.69
2,557.26,550.00,0.74,582.72,550.00,0.52,582.62,550.00,0.52
3,561.67,550.00,0.69,593.84,550.00,0.38,594.40,550.00,0.37
4,561.43,550.00,0.67,597.95,550.00,0.26,597.85,550.00,0.26
5,565.08,550.00,0.62,593.66,550.00,0.19,592.92,550.00,0.20
6,565.11,550.00,0.59,586.80,550.00,0.16,582.73,550.00,0.19
7,562.84,550.00,0.58,576.49,550.00,0.15,577.05,550.00,0.16
8,557.29,560.00,0.82,570.94,560.00,0.72,565.52,560.00,0.76
1,562.16,560.00,0.79,572.61,560.00,0.69,570.96,560.00,0.71
2,567.11,560.00,0.75,591.53,560.00,0.53,592.27,560.00,0.54
3,569.37,560.00,0.72,603.20,560.00,0.39,604.02,560.00,0.39
4,574.40,560.00,0.67,606.32,560.00,0.28,607.37,560.00,0.28
5,574.67,560.00,0.64,601.51,560.00,0.22,603.96,560.00,0.21
6,572.43,560.00,0.62,596.98,560.00,0.17,593.69,560.00,0.20
7,566.05,560.00,0.64,585.75,560.00,0.17,587.50,560.00,0.17
8,573.11,570.00,0.79,579.70,570.00,0.75,575.89,570.00,0.77
1,571.90,570.00,0.79,582.21,570.00,0.71,579.77,570.00,0.73
2,573.26,570.00,0.78,600.65,570.00,0.56,601.63,570.00,0.56
3,581.01,570.00,0.72,613.65,570.00,0.40,613.92,570.00,0.41
4,579.95,570.00,0.71,612.69,570.00,0.32,614.98,570.00,0.32
5,582.34,570.00,0.67,613.45,570.00,0.23,614.15,570.00,0.23
6,580.85,570.00,0.66,603.86,570.00,0.21,605.78,570.00,0.20
7,579.21,570.00,0.64,598.73,570.00,0.18,595.43,570.00,0.20
8,579.78,580.00,0.83,586.22,580.00,0.79,587.37,580.00,0.78
1,579.32,580.00,0.83,602.03,580.00,0.66,594.31,580.00,0.71
2,585.75,580.00,0.79,611.15,580.00,0.55,610.26,580.00,0.57
3,591.32,580.00,0.74,622.36,580.00,0.41,622.65,580.00,0.43
4,590.81,580.00,0.72,625.50,580.00,0.31,623.68,580.00,0.33
5,591.41,580.00,0.69,618.93,580.00,0.26,622.46,580.00,0.25
6,593.69,580.00,0.66,616.23,580.00,0.20,615.82,580.00,0.22
7,589.97,580.00,0.65,607.27,580.00,0.19,606.09,580.00,0.21
8,586.18,590.00,0.87,601.47,590.00,0.76,596.82,590.00,0.80
1,590.49,590.00,0.85,602.12,590.00,0.74,601.33,590.00,0.75
2,594.03,590.00,0.82,617.48,590.00,0.60,621.39,590.00,0.59
3,595.82,590.00,0.80,629.88,590.00,0.46,633.17,590.00,0.44
4,601.97,590.00,0.75,634.04,590.00,0.35,634.19,590.00,0.35
5,603.26,590.00,0.71,630.94,590.00,0.29,631.57,590.00,0.28
6,602.12,590.00,0.69,627.75,590.00,0.23,626.22,590.00,0.23
7,599.53,590.00,0.69,620.90,590.00,0.20,615.74,590.00,0.23
8,600.59,600.00,0.85,609.95,600.00,0.79,606.78,600.00,0.81
1,601.15,600.00,0.85,614.34,600.00,0.74,615.11,600.00,0.74
2,602.03,600.00,0.84,631.43,600.00,0.59,628.39,600.00,0.61
3,610.25,600.00,0.78,639.56,600.00,0.47,639.56,600.00,0.48
4,609.66,600.00,0.76,643.44,600.00,0.36,645.94,600.00,0.36
5,609.66,600.00,0.74,643.53,600.00,0.27,640.40,600.00,0.30
6,608.43,600.00,0.73,636.05,600.00,0.24,635.92,600.00,0.25
7,611.35,600.00,0.69,627.46,600.00,0.23,625.41,600.00,0.26
8,606.48,610.00,0.90,619.94,610.00,0.80,618.59,610.00,0.81
1,608.71,610.00,0.89,624.61,610.00,0.75,623.83,610.00,0.76
2,610.15,610.00,0.88,642.38,610.00,0.60,642.17,610.00,0.60
3,616.36,610.00,0.84,648.58,610.00,0.49,649.50,610.00,0.49
4,617.79,610.00,0.81,650.98,610.00,0.39,652.03,610.00,0.39
5,619.80,610.00,0.78,651.04,610.00,0.31,650.36,610.00,0.32
6,618.77,610.00,0.77,648.03,610.00,0.25,643.83,610.00,0.28
7,621.85,610.00,0.73,633.73,610.00,0.27,635.83,610.00,0.27
8,616.90,620.00,0.91,635.09,620.00,0.78,630.78,620.00,0.81
1,619.09,620.00,0.90,633.53,620.00,0.76,631.48,620.00,0.78
2,622.94,620.00,0.87,649.86,620.00,0.62,646.45,620.00,0.66
3,624.02,620.00,0.86,657.48,620.00,0.51,657.38,620.00,0.53
4,624.69,620.00,0.85,659.39,620.00,0.42,663.03,620.00,0.41
5,630.55,620.00,0.80,661.17,620.00,0.33,659.02,620.00,0.35
6,626.93,620.00,0.80,654.15,620.00,0.29,654.88,620.00,0.31
7,629.40,620.00,0.77,647.87,620.00,0.27,644.31,620.00,0.31
8,624.09,630.00,0.94,643.43,630.00,0.81,643.95,630.00,0.80
1,635.28,630.00,0.87,642.90,630.00,0.78,641.96,630.00,0.79
2,632.27,630.00,0.89,657.18,630.00,0.66,657.48,630.00,0.66
3,634.81,630.00,0.86,669.86,630.00,0.51,670.08,630.00,0.51
4,636.39,630.00,0.84,668.60,630.00,0.44,668.87,630.00,0.44
5,635.63,630.00,0.83,671.82,630.00,0.34,668.92,630.00,0.36
6,637.15,630.00,0.81,663.57,630.00,0.32,661.55,630.00,0.34
7,638.03,630.00,0.79,661.19,630.00,0.27,656.56,630.00,0.31
8,636.94,640.00,0.94,652.53,640.00,0.83,650.25,640.00,0.84
1,639.12,640.00,0.93,654.21,640.00,0.79,648.39,640.00,0.84
2,638.95,640.00,0.93,667.21,640.00,0.67,666.45,640.00,0.69
3,641.53,640.00,0.91,675.46,640.00,0.56,680.64,640.00,0.54
4,643.95,640.00,0.89,680.97,640.00,0.45,680.63,640.00,0.46
5,644.25,640.00,0.88,676.77,640.00,0.40,678.97,640.00,0.39
6,639.63,640.00,0.91,677.05,640.00,0.32,673.14,640.00,0.35
7,647.50,640.00,0.85,668.56,640.00,0.31,661.93,640.00,0.36
8,647.26,650.00,0.95,662.88,650.00,0.84,663.79,650.00,0.83
1,637.92,650.00,1.02,665.15,650.00,0.80,664.44,650.00,0.80
2,665.96,650.00,0.85,678.53,650.00,0.67,673.59,650.00,0.71
3,666.30,650.00,0.81,684.72,650.00,0.57,684.45,650.00,0.58
4,661.01,650.00,0.82,687.06,650.00,0.49,685.99,650.00,0.50
5,660.78,650.00,0.80,686.86,650.00,0.41,686.27,650.00,0.43
6,659.62,650.00,0.78,683.37,650.00,0.36,682.19,650.00,0.39
7,655.02,650.00,0.80,677.47,650.00,0.34,675.36,650.00,0.37
8,651.77,660.00,1.00,672.30,660.00,0.86,669.57,660.00,0.88
1,658.43,660.00,0.97,674.80,660.00,0.81,671.61,660.00,0.84
2,671.25,660.00,0.88,683.27,660.00,0.73,685.25,660.00,0.72
3,672.26,660.00,0.85,694.56,660.00,0.60,693.54,660.00,0.62
4,671.46,660.00,0.84,697.69,660.00,0.51,696.08,660.00,0.53
5,668.19,660.00,0.84,695.35,660.00,0.45,695.46,660.00,0.46
6,667.26,660.00,0.83,694.11,660.00,0.39,692.31,660.00,0.41
7,665.21,660.00,0.83,688.79,660.00,0.36,684.45,660.00,0.40
8,661.12,670.00,1.02,683.15,670.00,0.87,681.08,670.00,0.88
1,669.36,670.00,0.98,685.57,670.00,0.82,684.13,670.00,0.84
2,681.78,670.00,0.89,696.48,670.00,0.71,694.78,670.00,0.73
3,681.23,670.00,0.87,702.11,670.00,0.62,701.47,670.00,0.64
4,681.39,670.00,0.85,705.66,670.00,0.53,703.40,670.00,0.56
5,673.92,670.00,0.88,704.45,670.00,0.47,703.07,670.00,0.50
6,673.03,670.00,0.88,702.51,670.00,0.41,699.95,670.00,0.45
7,673.15,670.00,0.87,698.05,670.00,0.38,696.82,670.00,0.41
8,667.19,680.00,1.06,690.22,680.00,0.90,689.98,680.00,0.90
1,676.73,680.00,1.02,697.37,680.00,0.83,690.76,680.00,0.88
2,688.41,680.00,0.94,704.69,680.00,0.74,703.30,680.00,0.77
3,691.84,680.00,0.90,713.05,680.00,0.64,707.84,680.00,0.69
4,687.70,680.00,0.91,713.13,680.00,0.57,711.61,680.00,0.61
5,684.02,680.00,0.92,710.05,680.00,0.52,713.17,680.00,0.53
6,682.30,680.00,0.92,710.20,680.00,0.46,709.65,680.00,0.49
7,678.42,680.00,0.95,705.02,680.00,0.44,708.85,680.00,0.44
8,675.15,690.00,1.09,703.13,690.00,0.89,702.73,690.00,0.90
1,683.08,690.00,1.06,702.84,690.00,0.87,702.57,690.00,0.87
2,691.21,690.00,1.02,714.40,690.00,0.76,715.18,690.00,0.76
3,702.11,690.00,0.94,720.30,690.00,0.67,719.75,690.00,0.68
4,705.66,690.00,0.89,724.93,690.00,0.58,725.11,690.00,0.58
5,695.96,690.00,0.93,719.28,690.00,0.55,721.30,690.00,0.54
6,695.12,690.00,0.92,717.43,690.00,0.50,716.61,690.00,0.51
7,688.68,690.00,0.96,712.16,690.00,0.49,710.14,690.00,0.50
8,684.88,700.00,1.11,709.39,700.00,0.93,707.93,700.00,0.94
1,692.16,700.00,1.09,711.62,700.00,0.90,709.80,700.00,0.92
2,702.11,700.00,1.03,719.07,700.00,0.82,722.29,700.00,0.81
3,707.62,700.00,0.99,723.22,700.00,0.76,726.17,700.00,0.74
4,711.27,700.00,0.95,730.70,700.00,0.66,729.78,700.00,0.66
5,712.54,700.00,0.92,730.88,700.00,0.60,729.81,700.00,0.60
6,706.85,700.00,0.93,730.47,700.00,0.54,725.77,700.00,0.57
7,699.64,700.00,0.97,724.70,700.00,0.52,724.40,700.00,0.53
8,694.56,710.00,1.12,724.93,710.00,0.91,720.48,710.00,0.94
1,703.17,710.00,1.09,722.88,710.00,0.89,721.42,710.00,0.91
2,709.08,710.00,1.07,731.47,710.00,0.81,727.88,710.00,0.85
3,713.39,710.00,1.04,736.91,710.00,0.73,733.80,710.00,0.77
4,720.92,710.00,0.98,737.44,710.00,0.67,735.65,710.00,0.71
5,720.97,710.00,0.96,740.36,710.00,0.59,736.68,710.00,0.65
6,718.19,710.00,0.95,735.18,710.00,0.57,734.38,710.00,0.61
7,713.01,710.00,0.97,733.86,710.00,0.53,732.06,710.00,0.58
8,708.47,720.00,1.11,731.15,720.00,0.95,731.82,720.00,0.95
1,713.13,720.00,1.10,730.05,720.00,0.94,730.05,720.00,0.93
2,718.66,720.00,1.07,735.87,720.00,0.88,734.49,720.00,0.88
3,721.74,720.00,1.06,739.74,720.00,0.82,739.02,720.00,0.82
4,726.11,720.00,1.02,744.94,720.00,0.74,742.77,720.00,0.76
5,726.00,720.00,1.01,746.68,720.00,0.68,744.40,720.00,0.70
6,732.53,720.00,0.95,743.22,720.00,0.65,741.40,720.00,0.67
7,728.87,720.00,0.95,744.35,720.00,0.59,742.54,720.00,0.62
8,721.11,730.00,1.11,741.97,730.00,0.96,737.81,730.00,0.99
1,725.23,730.00,1.09,740.47,730.00,0.95,742.45,730.00,0.94
2,723.96,730.00,1.11,746.50,730.00,0.88,749.65,730.00,0.86
3,730.49,730.00,1.08,750.04,730.00,0.82,752.28,730.00,0.81
4,731.84,730.00,1.07,752.47,730.00,0.77,753.30,730.00,0.76
5,733.14,730.00,1.06,751.67,730.00,0.73,752.40,730.00,0.72
6,734.49,730.00,1.04,755.45,730.00,0.66,750.39,730.00,0.68
7,735.64,730.00,1.02,750.47,730.00,0.64,749.37,730.00,0.65
8,734.70,740.00,1.09,749.31,740.00,0.99,745.91,740.00,1.02
1,738.28,740.00,1.08,751.32,740.00,0.96,751.29,740.00,0.97
2,739.50,740.00,1.07,758.94,740.00,0.88,760.41,740.00,0.88
3,737.82,740.00,1.09,762.31,740.00,0.82,762.67,740.00,0.82
4,737.69,740.00,1.09,758.56,740.00,0.80,757.58,740.00,0.81
5,741.77,740.00,1.07,767.10,740.00,0.71,763.89,740.00,0.73
6,737.92,740.00,1.09,761.60,740.00,0.69,760.06,740.00,0.71
7,742.61,740.00,1.06,756.96,740.00,0.68,755.36,740.00,0.71
8,740.02,750.00,1.14,757.22,750.00,1.02,756.63,750.00,1.03
1,741.13,750.00,1.15,757.58,750.00,1.00,757.45,750.00,1.01
2,740.10,750.00,1.18,767.05,750.00,0.92,770.85,750.00,0.90
3,735.87,750.00,1.23,776.11,750.00,0.83,774.16,750.00,0.83
4,745.60,750.00,1.19,773.66,750.00,0.79,775.38,750.00,0.78
5,739.32,750.00,1.24,770.93,750.00,0.76,769.95,750.00,0.76
6,743.34,750.00,1.23,767.54,750.00,0.74,769.36,750.00,0.73
7,739.41,750.00,1.27,766.22,750.00,0.72,765.27,750.00,0.72
8,743.30,760.00,1.20,763.86,760.00,1.06,761.75,760.00,1.07
1,742.45,760.00,1.24,766.05,760.00,1.04,766.60,760.00,1.04
2,740.71,760.00,1.29,776.84,760.00,0.95,775.89,760.00,0.96
3,741.85,760.00,1.32,778.21,760.00,0.90,779.73,760.00,0.90
4,740.94,760.00,1.36,775.01,760.00,0.89,779.66,760.00,0.86
5,742.82,760.00,1.39,777.45,760.00,0.84,777.71,760.00,0.83
6,741.56,760.00,1.43,777.29,760.00,0.81,775.48,760.00,0.81
7,742.15,760.00,1.46,772.47,760.00,0.81,774.32,760.00,0.79
8,741.73,770.00,1.30,773.62,770.00,1.07,770.48,770.00,1.10
1,743.58,770.00,1.34,773.80,770.00,1.07,775.50,770.00,1.06
2,741.16,770.00,1.41,782.14,770.00,1.00,782.01,770.00,1.00
3,742.77,770.00,1.46,788.08,770.00,0.93,788.48,770.00,0.93
4,741.38,770.00,1.52,786.51,770.00,0.91,785.36,770.00,0.92
5,742.98,770.00,1.57,785.06,770.00,0.89,790.85,770.00,0.85
6,741.84,770.00,1.63,786.11,770.00,0.85,784.18,770.00,0.86
7,742.33,770.00,1.68,782.14,770.00,0.84,781.89,770.00,0.84
8,745.57,780.00,1.36,780.15,780.00,1.11,779.18,780.00,1.12
1,740.92,780.00,1.46,779.72,780.00,1.12,782.52,780.00,1.10
2,744.51,780.00,1.51,787.85,780.00,1.06,788.58,780.00,1.05
3,743.65,780.00,1.59,789.56,780.00,1.03,793.21,780.00,1.00
4,740.68,780.00,1.68,794.36,780.00,0.98,791.73,780.00,0.99
5,745.10,780.00,1.73,795.45,780.00,0.94,803.15,780.00,0.88
6,743.49,780.00,1.81,793.91,780.00,0.92,797.62,780.00,0.87
7,743.02,780.00,1.89,789.90,780.00,0.92,792.28,780.00,0.88
8,743.61,790.00,1.45,789.02,790.00,1.14,789.35,790.00,1.13
1,742.29,790.00,1.56,789.69,790.00,1.13,784.96,790.00,1.17
2,745.28,790.00,1.63,793.59,790.00,1.11,798.12,790.00,1.08
3,744.02,790.00,1.73,795.84,790.00,1.08,796.88,790.00,1.08
4,741.92,790.00,1.83,797.91,790.00,1.06,798.66,790.00,1.05
5,745.15,790.00,1.91,799.97,790.00,1.03,800.38,790.00,1.02
6,743.61,790.00,2.01,802.03,790.00,0.99,803.96,790.00,0.97
7,741.84,790.00,2.11,802.14,790.00,0.97,800.53,790.00,0.97
8,744.63,800.00,1.53,799.90,800.00,1.14,798.83,800.00,1.15
1,742.42,800.00,1.66,800.28,800.00,1.14,797.67,800.00,1.16
2,743.54,800.00,1.76,802.79,800.00,1.12,800.78,800.00,1.14
3,745.78,800.00,1.86,802.75,800.00,1.12,801.33,800.00,1.14
4,741.72,800.00,2.00,802.93,800.00,1.11,804.44,800.00,1.11
5,744.75,800.00,2.09,805.27,800.00,1.09,803.18,800.00,1.11
6,745.05,800.00,2.20,804.43,800.00,1.08,806.96,800.00,1.08
7,738.40,800.00,2.36,805.93,800.00,1.06,804.35,800.00,1.09
8,747.48,810.00,1.59,807.11,810.00,1.18,807.11,810.00,1.18
1,745.86,810.00,1.73,804.93,810.00,1.20,807.84,810.00,1.18
2,743.34,810.00,1.88,805.92,810.00,1.20,806.32,810.00,1.19
3,745.57,810.00,1.99,805.95,810.00,1.21,806.45,810.00,1.20
4,744.22,810.00,2.13,808.16,810.00,1.20,808.04,810.00,1.20
5,744.81,810.00,2.26,805.45,810.00,1.22,807.33,810.00,1.20
6,741.89,810.00,2.41,807.77,810.00,1.22,809.07,810.00,1.20
7,745.36,810.00,2.52,805.93,810.00,1.24,807.38,810.00,1.21
8,745.16,820.00,1.70,808.22,820.00,1.25,808.46,820.00,1.25
1,742.13,820.00,1.87,808.15,820.00,1.28,808.94,820.00,1.27
2,745.05,820.00,2.00,804.82,820.00,1.32,808.85,820.00,1.29
3,744.39,820.00,2.16,807.76,820.00,1.33,806.98,820.00,1.33
4,741.89,820.00,2.32,808.96,820.00,1.35,808.94,820.00,1.34
5,745.28,820.00,2.46,804.18,820.00,1.41,809.23,820.00,1.36
6,744.87,820.00,2.61,809.21,820.00,1.40,806.71,820.00,1.40
7,741.72,820.00,2.78,808.47,820.00,1.43,808.97,820.00,1.41
8,745.36,830.00,1.78,805.53,830.00,1.36,809.34,830.00,1.33
1,745.28,830.00,1.95,809.49,830.00,1.38,806.96,830.00,1.39
2,742.19,830.00,2.14,805.32,830.00,1.45,809.62,830.00,1.42
3,745.84,830.00,2.29,807.62,830.00,1.48,808.80,830.00,1.46
4,745.51,830.00,2.46,809.11,830.00,1.52,808.21,830.00,1.51
5,742.49,830.00,2.65,805.66,830.00,1.58,807.77,830.00,1.56
6,746.33,830.00,2.80,807.45,830.00,1.62,809.21,830.00,1.59
7,744.82,830.00,2.98,808.96,830.00,1.65,809.88,830.00,1.63
8,745.48,840.00,1.86,806.45,840.00,1.43,806.84,840.00,1.43
1,743.54,840.00,2.06,807.70,840.00,1.49,809.09,840.00,1.48
2,745.90,840.00,2.24,809.22,840.00,1.55,810.28,840.00,1.54
3,745.51,840.00,2.43,806.07,840.00,1.63,809.99,840.00,1.60
4,745.18,840.00,2.62,808.29,840.00,1.68,809.06,840.00,1.66
5,742.86,840.00,2.83,808.81,840.00,1.74,808.16,840.00,1.73
6,746.56,840.00,3.00,805.69,840.00,1.83,809.86,840.00,1.78
7,745.18,840.00,3.19,808.55,840.00,1.88,810.00,840.00,1.84
8,744.40,850.00,1.95,808.97,850.00,1.50,809.21,850.00,1.50
1,746.02,850.00,2.15,806.45,850.00,1.60,807.91,850.00,1.59
2,745.11,850.00,2.37,807.70,850.00,1.68,808.58,850.00,1.67
3,745.51,850.00,2.57,809.10,850.00,1.75,809.99,850.00,1.74
4,745.42,850.00,2.78,805.93,850.00,1.86,808.80,850.00,1.83
5,739.44,850.00,3.04,808.21,850.00,1.93,807.21,850.00,1.92
6,751.02,850.00,3.18,808.42,850.00,2.01,809.73,850.00,1.99
7,746.09,850.00,3.41,805.82,850.00,2.11,809.73,850.00,2.07
8,745.42,860.00,2.03,807.76,860.00,1.59,806.45,860.00,1.60
1,743.59,860.00,2.27,807.11,860.00,1.70,810.28,860.00,1.68
2,747.26,860.00,2.48,807.84,860.00,1.80,809.86,860.00,1.79
3,746.21,860.00,2.71,808.81,860.00,1.90,806.19,860.00,1.91
4,743.42,860.00,2.96,805.95,860.00,2.02,809.61,860.00,2.00
5,744.63,860.00,3.18,808.42,860.00,2.11,809.73,860.00,2.10
6,747.06,860.00,3.40,808.15,860.00,2.22,809.73,860.00,2.20
7,740.88,860.00,3.67,804.45,860.00,2.35,809.34,860.00,2.30
8,749.43,870.00,2.09,810.41,870.00,1.66,807.37,870.00,1.68
1,743.98,870.00,2.37,808.85,870.00,1.79,810.24,870.00,1.79
2,744.82,870.00,2.61,805.80,870.00,1.93,809.72,870.00,1.91
3,745.51,870.00,2.86,808.21,870.00,2.05,809.73,870.00,2.03
4,742.74,870.00,3.13,808.81,870.00,2.16,808.30,870.00,2.16
5,744.58,870.00,3.37,805.53,870.00,2.31,809.34,870.00,2.28
6,746.97,870.00,3.60,808.21,870.00,2.42,809.34,870.00,2.40
7,742.69,870.00,3.88,802.64,870.00,2.58,807.91,870.00,2.53
8,745.68,880.00,2.20,811.76,880.00,1.73,809.21,880.00,1.75
1,744.46,880.00,2.47,808.81,880.00,1.89,810.26,880.00,1.89
2,743.34,880.00,2.75,805.40,880.00,2.06,809.73,880.00,2.03
3,743.77,880.00,3.02,807.84,880.00,2.19,806.95,880.00,2.19
4,745.96,880.00,3.28,808.81,880.00,2.33,810.68,880.00,2.31
5,745.28,880.00,3.55,805.32,880.00,2.49,808.96,880.00,2.46
6,742.74,880.00,3.84,808.29,880.00,2.62,809.47,880.00,2.60
7,745.11,880.00,4.10,808.34,880.00,2.77,808.71,880.00,2.75
8,746.50,890.00,2.28,806.58,890.00,1.86,808.74,890.00,1.84
1,743.18,890.00,2.59,803.59,890.00,2.04,809.85,890.00,2.00
2,744.70,890.00,2.87,812.12,890.00,2.16,809.21,890.00,2.16
3,746.09,890.00,3.15,805.80,890.00,2.36,810.66,890.00,2.31
4,745.39,890.00,3.44,809.11,890.00,2.50,808.10,890.00,2.49
5,743.18,890.00,3.75,805.54,890.00,2.69,810.11,890.00,2.64
6,745.90,890.00,4.02,808.56,890.00,2.84,810.66,890.00,2.79
7,745.51,890.00,4.31,808.34,890.00,3.00,810.24,890.00,2.96
8,744.46,900.00,2.37,805.54,900.00,1.95,810.37,900.00,1.91
