counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
3,84.60,90.00,0.22,100.12,90.00,0.10,96.53,90.00,0.12
4,83.43,90.00,0.24,100.50,90.00,0.08,102.16,90.00,0.07
5,83.64,90.00,0.25,97.11,90.00,0.08,97.70,90.00,0.08
6,89.83,90.00,0.22,94.67,90.00,0.08,94.04,90.00,0.09
7,89.44,90.00,0.22,91.18,90.00,0.10,89.39,90.00,0.11
8,90.74,100.00,0.21,90.05,100.00,0.21,89.97,100.00,0.21
1,90.46,100.00,0.23,94.11,100.00,0.20,93.24,100.00,0.21
2,92.15,100.00,0.24,103.20,100.00,0.15,101.30,100.00,0.17
3,93.56,100.00,0.24,106.50,100.00,0.12,108.59,100.00,0.11
4,95.88,100.00,0.24,109.29,100.00,0.09,109.94,100.00,0.09
5,100.36,100.00,0.21,108.44,100.00,0.08,107.20,100.00,0.09
6,99.39,100.00,0.22,106.70,100.00,0.07,103.39,100.00,0.10
7,98.74,100.00,0.23,100.37,100.00,0.10,102.90,100.00,0.10
8,98.96,110.00,0.23,98.09,110.00,0.24,99.32,110.00,0.23
1,103.44,110.00,0.23,105.35,110.00,0.21,102.49,110.00,0.23
2,102.12,110.00,0.25,114.40,110.00,0.16,114.79,110.00,0.16
3,103.47,110.00,0.25,118.30,110.00,0.12,122.59,110.00,0.10
4,106.62,110.00,0.24,122.07,110.00,0.08,123.35,110.00,0.07
5,111.28,110.00,0.22,119.18,110.00,0.08,117.68,110.00,0.08
6,110.32,110.00,0.22,117.98,110.00,0.07,113.26,110.00,0.09
7,110.25,110.00,0.22,112.22,110.00,0.09,111.44,110.00,0.10
8,111.18,120.00,0.23,107.14,120.00,0.26,108.75,120.00,0.25
1,110.38,120.00,0.26,115.15,120.00,0.23,111.54,120.00,0.25
2,112.47,120.00,0.26,124.54,120.00,0.18,126.18,120.00,0.17
3,114.39,120.00,0.26,134.77,120.00,0.09,132.23,120.00,0.11
4,116.28,120.00,0.26,134.36,120.00,0.07,133.33,120.00,0.08
5,122.26,120.00,0.23,132.54,120.00,0.05,132.48,120.00,0.06
6,122.92,120.00,0.22,124.16,120.00,0.09,126.48,120.00,0.08
7,120.93,120.00,0.23,122.93,120.00,0.09,121.04,120.00,0.10
8,122.22,130.00,0.24,117.94,130.00,0.27,118.66,130.00,0.27
1,119.79,130.00,0.27,123.82,130.00,0.25,122.51,130.00,0.26
2,123.65,130.00,0.27,137.45,130.00,0.17,138.12,130.00,0.17
3,128.74,130.00,0.24,145.40,130.00,0.10,145.91,130.00,0.10
4,128.93,130.00,0.24,145.75,130.00,0.07,145.61,130.00,0.07
5,128.40,130.00,0.25,141.75,130.00,0.06,141.27,130.00,0.07
6,131.06,130.00,0.23,135.03,130.00,0.09,136.05,130.00,0.08
7,133.92,130.00,0.21,134.62,130.00,0.08,133.27,130.00,0.09
8,130.60,140.00,0.27,129.30,140.00,0.27,127.43,140.00,0.29
1,130.33,140.00,0.29,132.52,140.00,0.27,132.30,140.00,0.28
2,136.98,140.00,0.26,150.89,140.00,0.16,151.32,140.00,0.16
3,137.58,140.00,0.26,156.02,140.00,0.10,159.03,140.00,0.08
4,140.67,140.00,0.24,159.06,140.00,0.05,157.16,140.00,0.06
5,141.27,140.00,0.24,151.99,140.00,0.06,151.76,140.00,0.06
6,141.84,140.00,0.23,146.76,140.00,0.07,146.11,140.00,0.08
7,143.33,140.00,0.22,143.51,140.00,0.08,142.62,140.00,0.09
8,141.49,150.00,0.27,140.26,150.00,0.28,138.54,150.00,0.29
1,141.71,150.00,0.29,143.39,150.00,0.28,143.47,150.00,0.28
2,144.95,150.00,0.28,160.65,150.00,0.17,156.93,150.00,0.20
3,147.74,150.00,0.27,168.71,150.00,0.09,171.01,150.00,0.09
4,150.27,150.00,0.26,167.46,150.00,0.07,171.18,150.00,0.05
5,154.76,150.00,0.23,164.26,150.00,0.05,165.76,150.00,0.04
6,152.86,150.00,0.23,158.15,150.00,0.07,158.28,150.00,0.06
7,151.52,150.00,0.24,155.48,150.00,0.07,153.77,150.00,0.08
8,152.15,160.00,0.28,147.22,160.00,0.32,146.90,160.00,0.32
1,151.37,160.00,0.30,155.76,160.00,0.28,151.52,160.00,0.31
2,155.64,160.00,0.29,171.69,160.00,0.18,172.44,160.00,0.18
3,159.26,160.00,0.28,178.68,160.00,0.11,184.81,160.00,0.07
4,162.07,160.00,0.26,180.59,160.00,0.06,182.36,160.00,0.04
5,162.06,160.00,0.25,178.13,160.00,0.03,178.80,160.00,0.02
6,165.03,160.00,0.23,168.89,160.00,0.06,168.46,160.00,0.06
7,162.26,160.00,0.24,163.04,160.00,0.09,164.65,160.00,0.07
8,161.45,170.00,0.30,159.03,170.00,0.32,156.02,170.00,0.34
1,162.76,170.00,0.31,165.35,170.00,0.30,163.32,170.00,0.32
2,167.29,170.00,0.29,183.56,170.00,0.18,184.81,170.00,0.18
3,169.31,170.00,0.28,191.63,170.00,0.10,194.17,170.00,0.09
4,172.22,170.00,0.27,191.33,170.00,0.05,190.51,170.00,0.06
5,174.00,170.00,0.25,187.13,170.00,0.04,190.74,170.00,0.02
6,171.23,170.00,0.26,179.36,170.00,0.06,180.80,170.00,0.05
7,173.18,170.00,0.24,173.17,170.00,0.09,172.89,170.00,0.08
8,173.67,180.00,0.30,166.64,180.00,0.35,169.49,180.00,0.33
1,173.61,180.00,0.31,175.02,180.00,0.32,174.33,180.00,0.32
2,177.13,180.00,0.30,197.37,180.00,0.17,192.71,180.00,0.20
3,181.47,180.00,0.28,208.14,180.00,0.06,204.18,180.00,0.09
4,182.60,180.00,0.27,202.92,180.00,0.04,202.20,180.00,0.06
5,182.54,180.00,0.26,198.28,180.00,0.03,198.22,180.00,0.04
6,183.65,180.00,0.25,193.29,180.00,0.03,192.52,180.00,0.05
7,181.83,180.00,0.25,183.79,180.00,0.07,183.22,180.00,0.09
8,182.20,190.00,0.33,177.75,190.00,0.36,178.26,190.00,0.35
1,183.17,190.00,0.33,187.85,190.00,0.31,186.23,190.00,0.32
2,187.79,190.00,0.32,207.35,190.00,0.18,203.32,190.00,0.21
3,194.22,190.00,0.28,213.98,190.00,0.10,216.25,190.00,0.09
4,195.22,190.00,0.26,213.78,190.00,0.05,216.02,190.00,0.04
5,193.58,190.00,0.26,209.86,190.00,0.03,210.54,190.00,0.03
6,193.99,190.00,0.25,201.15,190.00,0.05,200.58,190.00,0.06
7,195.28,190.00,0.23,197.22,190.00,0.06,195.92,190.00,0.07
8,190.37,200.00,0.35,188.11,200.00,0.37,188.32,200.00,0.37
1,193.54,200.00,0.35,195.47,200.00,0.34,194.96,200.00,0.34
2,196.82,200.00,0.34,218.01,200.00,0.19,216.95,200.00,0.20
