Time, vA, vB, vC, targetVelocity, pwmA, pwmB, pwmC
17200, 641.72, 639.23, 661.38,620.50,0.25, 0.28, 0.85,
17400, 649.83, 641.03, 659.72,627.80,0.26, 0.33, 0.86,
17600, 658.22, 653.27, 661.25,635.10,0.27, 0.31, 0.87,
17800, 662.23, 660.57, 661.42,642.40,0.30, 0.33, 0.88,
18000, 670.00, 667.97, 662.28,649.70,0.31, 0.34, 0.89,
18200, 678.66, 674.79, 663.50,657.00,0.33, 0.36, 0.90,
18400, 685.68, 683.49, 660.36,664.30,0.36, 0.37, 0.91,
18600, 690.97, 689.15, 665.78,671.60,0.38, 0.40, 0.92,
18800, 698.17, 695.13, 670.73,678.90,0.40, 0.43, 0.93,
19000, 705.48, 702.84, 676.12,686.20,0.43, 0.44, 0.94,
19200, 714.96, 712.16, 680.54,693.50,0.41, 0.48, 0.95,
19400, 719.31, 713.82, 691.28,700.80,0.50, 0.50, 0.96,
19600, 726.58, 731.21, 706.35,708.10,0.49, 0.52, 0.97,
19800, 731.86, 726.90, 720.10,715.40,0.53, 0.56, 0.98,
20000, 738.41, 736.37, 731.45,722.70,0.57, 0.61, 0.99,
20200, 744.87, 741.28, 741.13,730.00,0.59, 0.63, 1.00,
20400, 750.35, 750.67, 746.44,737.30,0.64, 0.65, 1.01,
20600, 755.68, 755.80, 748.25,730.00,0.67, 0.67, 1.00,
20800, 748.45, 746.69, 749.06,722.70,0.57, 0.62, 0.99,
21000, 743.42, 739.32, 745.74,715.40,0.55, 0.60, 0.98,
21200, 735.52, 732.54, 740.02,708.10,0.53, 0.56, 0.97,
21400, 726.70, 728.23, 730.52,700.80,0.51, 0.52, 0.96,
21600, 720.21, 723.22, 716.25,693.50,0.46, 0.49, 0.95,
21800, 721.64, 720.10, 706.04,686.20,0.40, 0.43, 0.94,
22000, 710.34, 705.15, 697.73,678.90,0.42, 0.44, 0.93,
22200, 704.68, 699.41, 687.55,671.60,0.36, 0.44, 0.92,
22400, 697.04, 694.88, 680.09,664.30,0.35, 0.39, 0.91,
22600, 687.44, 687.59, 673.36,657.00,0.35, 0.37, 0.90,
22800, 681.04, 678.86, 668.67,649.70,0.32, 0.36, 0.89,
23000, 674.30, 672.38, 668.28,642.40,0.30, 0.34, 0.88,
23200, 668.39, 664.20, 670.38,635.10,0.28, 0.33, 0.87,
23400, 662.06, 655.86, 671.96,627.80,0.26, 0.32, 0.86,
23600, 653.20, 650.20, 670.37,620.50,0.26, 0.30, 0.85,
23800, 644.33, 642.63, 671.14,613.20,0.24, 0.28, 0.84,
24000, 638.72, 636.18, 673.92,605.90,0.21, 0.26, 0.83,
24200, 631.37, 629.81, 671.82,598.60,0.21, 0.25, 0.82,
24400, 624.02, 621.58, 670.51,591.30,0.19, 0.24, 0.81,
24600, 616.83, 614.05, 668.77,584.00,0.18, 0.22, 0.80,
24800, 610.16, 605.30, 672.46,576.70,0.16, 0.22, 0.79,
25000, 602.69, 597.58, 667.40,569.40,0.16, 0.21, 0.78,
25200, 594.03, 590.43, 662.82,562.10,0.15, 0.20, 0.77,
25400, 587.37, 580.82, 663.03,554.80,0.13, 0.20, 0.76,
25600, 579.21, 573.54, 658.20,547.50,0.13, 0.20, 0.75,
25800, 570.31, 567.29, 655.31,540.20,0.13, 0.17, 0.74,
26001, 564.77, 558.79, 651.51,532.90,0.11, 0.18, 0.73,
26201, 558.07, 553.21, 648.93,525.60,0.09, 0.15, 0.72,
26400, 556.37, 554.74, 644.48,518.30,0.11, 0.14, 0.71,
26600, 535.80, 536.83, 643.63,511.00,0.12, 0.15, 0.70,
26800, 535.80, 530.75, 640.22,503.70,0.08, 0.14, 0.69,
27000, 527.17, 521.26, 637.88,496.40,0.08, 0.15, 0.68,
27200, 518.39, 517.69, 634.87,489.10,0.08, 0.12, 0.67,
27400, 508.61, 507.81, 634.34,481.80,0.08, 0.12, 0.66,
27600, 502.94, 496.74, 629.70,474.50,0.07, 0.13, 0.65,
27800, 497.47, 491.71, 630.25,467.20,0.05, 0.12, 0.64,
28000, 486.15, 483.47, 626.26,459.90,0.07, 0.12, 0.63,
28200, 477.71, 474.30, 623.89,452.60,0.08, 0.13, 0.62,
28400, 471.39, 467.56, 621.52,445.30,0.06, 0.11, 0.61,
28600, 465.64, 459.91, 618.25,438.00,0.05, 0.11, 0.60,
28800, 457.15, 452.35, 614.40,430.70,0.05, 0.11, 0.59,
29000, 447.08, 445.85, 615.42,423.40,0.07, 0.10, 0.58,
29200, 440.74, 433.86, 610.62,416.10,0.06, 0.13, 0.57,
29400, 434.72, 428.55, 606.42,408.80,0.04, 0.11, 0.56,
29600, 424.56, 419.72, 602.21,401.50,0.07, 0.11, 0.55,
29800, 418.22, 416.19, 596.80,394.20,0.05, 0.09, 0.54,
30000, 408.18, 406.44, 594.40,386.90,0.07, 0.10, 0.53,
30200, 400.39, 399.80, 590.78,379.60,0.07, 0.09, 0.52,
30400, 392.46, 390.31, 591.64,372.30,0.06, 0.09, 0.51,
30600, 387.51, 384.20, 585.97,365.00,0.04, 0.08, 0.50,
30800, 378.10, 375.39, 579.60,357.70,0.06, 0.09, 0.49,
31000, 370.94, 368.06, 577.05,350.40,0.06, 0.09, 0.48,
31200, 368.80, 359.80, 571.65,343.10,0.03, 0.10, 0.47,
31400, 352.28, 350.85, 571.83,335.80,0.08, 0.10, 0.46,
31600, 345.75, 344.38, 566.62,328.50,0.07, 0.10, 0.45,
31800, 340.28, 337.23, 560.79,321.20,0.05, 0.09, 0.44,
32000, 330.64, 329.00, 558.42,313.90,0.07, 0.10, 0.43,
32200, 324.78, 321.23, 554.38,306.60,0.06, 0.10, 0.42,
32400, 315.32, 312.70, 549.54,299.30,0.07, 0.10, 0.41,
32600, 307.92, 304.21, 546.11,292.00,0.08, 0.11, 0.40,
32800, 298.29, 299.77, 541.35,284.70,0.08, 0.09, 0.39,
33000, 289.99, 289.95, 536.62,277.40,0.09, 0.10, 0.38,
33200, 283.65, 282.35, 529.66,270.10,0.09, 0.11, 0.37,
33400, 277.17, 275.33, 522.05,262.80,0.08, 0.10, 0.36,
33600, 267.21, 268.34, 516.80,255.50,0.10, 0.10, 0.35,
33800, 259.15, 256.93, 512.44,248.20,0.10, 0.12, 0.34,
34000, 253.12, 251.06, 506.92,240.90,0.09, 0.12, 0.33,
34200, 244.90, 243.66, 501.06,233.60,0.10, 0.11, 0.32,
34400, 239.88, 237.86, 494.93,226.30,0.09, 0.11, 0.31,
34600, 230.50, 229.07, 488.43,219.00,0.10, 0.11, 0.30,
34800, 220.55, 222.06, 484.13,211.70,0.12, 0.11, 0.29,
35000, 214.09, 212.73, 476.81,204.40,0.11, 0.12, 0.28,
35200, 206.74, 205.20, 475.33,197.10,0.11, 0.12, 0.27,
35400, 197.87, 197.87, 462.96,189.80,0.12, 0.13, 0.26,
35600, 191.14, 188.48, 456.84,182.50,0.12, 0.14, 0.25,
35800, 184.28, 180.88, 448.66,175.20,0.12, 0.14, 0.24,
36000, 174.88, 176.68, 442.24,167.90,0.13, 0.12, 0.23,
36200, 167.68, 167.05, 436.61,160.60,0.13, 0.14, 0.22,
36400, 158.90, 158.54, 430.06,153.30,0.14, 0.15, 0.21,
36600, 153.99, 153.64, 421.68,146.00,0.12, 0.13, 0.20,
36800, 143.16, 145.70, 412.45,138.70,0.14, 0.13, 0.19,
37000, 136.59, 138.78, 403.75,131.40,0.14, 0.13, 0.18,
37200, 129.45, 132.58, 392.63,124.10,0.14, 0.12, 0.17,
37400, 124.24, 124.14, 384.43,116.80,0.13, 0.12, 0.16,
37600, 115.96, 114.89, 373.92,109.50,0.13, 0.14, 0.15,
37800, 107.84, 109.45, 363.27,102.20,0.14, 0.12, 0.14,
38000, 99.42, 99.46, 353.00,94.90,0.14, 0.14, 0.13,
38200, 94.46, 93.97, 346.77,87.60,0.12, 0.12, 0.12,
38400, 86.85, 88.44, 336.41,80.30,0.12, 0.11, 0.11,
38600, 78.62, 77.86, 321.82,73.00,0.13, 0.13, 0.10,
38800, 68.59, 68.90, 314.18,65.70,0.14, 0.14, 0.09,
39000, 62.73, 58.97, 302.22,58.40,0.13, 0.15, 0.08,
39200, 50.99, 51.17, 290.09,51.10,0.14, 0.14, 0.07,
39400, 48.05, 46.92, 278.29,43.80,0.13, 0.13, 0.06,
39600, 36.59, 39.39, 266.67,36.50,0.15, 0.13, 0.05,
39800, 30.53, 31.12, 253.31,29.20,0.13, 0.13, 0.04,
40000, 21.45, 20.34, 241.70,21.90,0.15, 0.14, 0.03,
40200, 14.22, 17.20, 229.57,14.60,0.14, 0.12, 0.02,
40400, 6.06, 13.57, 215.73,7.30,0.16, 0.07, 0.01,
40600, 3.93, 0.00, 204.42,0.00,0.07, 0.11, 0.00,
40800, 0.00, 0.00, 188.74,-7.30,0.00, 0.00, -0.01,
41000, 0.00, 0.00, 52.50,0.00,-0.16, -0.14, 0.00,
41200, 0.00, 0.00, 51.04,7.30,-0.00, 0.01, 0.01,
