1,0.01,0.00,0.00,0.00
2,0.01,0.00,0.00,0.00
3,0.01,0.00,0.00,0.00
4,0.01,0.00,0.00,0.00
5,0.01,0.00,0.00,0.00
6,0.01,0.00,0.00,0.00
7,0.01,0.00,0.00,0.00
8,0.01,0.00,0.00,0.00
1,0.02,0.00,0.00,0.00
2,0.02,0.00,0.00,0.00
3,0.02,0.00,0.00,0.00
4,0.02,0.00,0.00,0.00
5,0.02,0.00,0.00,0.00
6,0.02,0.00,0.00,0.00
7,0.02,0.00,0.00,0.00
8,0.02,0.00,0.00,0.00
1,0.03,0.00,0.00,0.00
2,0.03,0.00,0.00,0.00
3,0.03,0.00,0.00,0.00
4,0.03,0.00,0.00,0.00
5,0.03,0.00,0.00,0.00
6,0.03,0.00,0.00,0.00
7,0.03,0.00,0.00,0.00
8,0.04,0.00,0.00,0.00
1,0.04,0.00,0.00,0.00
2,0.04,0.00,0.00,0.00
3,0.04,0.00,0.00,0.00
4,0.04,0.00,0.00,0.00
5,0.04,0.00,0.00,0.00
6,0.04,0.00,0.00,0.00
7,0.04,0.00,0.00,0.00
8,0.05,0.00,0.00,0.00
1,0.05,0.00,0.00,0.00
2,0.05,0.00,0.00,0.00
3,0.05,0.00,0.00,0.00
4,0.05,0.00,0.00,0.00
5,0.05,0.00,0.00,0.00
6,0.05,0.00,0.00,0.00
7,0.05,0.00,0.00,0.00
8,0.06,0.00,0.00,0.00
1,0.06,0.00,0.00,0.00
2,0.06,0.00,0.00,0.00
3,0.06,0.00,0.00,0.00
4,0.06,0.00,0.00,0.00
5,0.06,0.00,0.00,0.00
6,0.06,0.00,0.00,0.00
7,0.06,0.00,0.00,0.00
8,0.07,0.00,0.00,0.00
1,0.07,0.00,0.00,0.00
2,0.07,0.00,0.00,0.00
3,0.07,0.00,0.00,0.00
4,0.07,0.00,0.00,0.00
5,0.07,0.00,0.00,0.00
6,0.07,0.00,0.00,0.00
7,0.07,0.00,0.00,0.00
8,0.08,0.00,0.00,0.00
1,0.08,0.00,0.00,0.00
2,0.08,0.00,0.00,0.00
3,0.08,0.00,0.00,0.00
4,0.08,0.00,0.00,0.00
5,0.08,0.00,0.00,0.00
6,0.08,0.00,0.00,0.00
7,0.08,0.00,0.00,0.00
8,0.09,0.00,0.00,0.00
1,0.09,0.00,0.00,0.00
2,0.09,0.00,0.00,0.00
3,0.09,0.00,0.00,0.00
4,0.09,0.00,0.00,0.00
5,0.09,0.00,0.00,0.00
6,0.09,0.00,0.00,0.00
7,0.09,0.00,0.00,0.00
8,0.10,0.00,0.00,0.00
1,0.10,0.00,0.00,0.00
2,0.10,0.00,0.00,0.00
3,0.10,0.00,0.00,0.00
4,0.10,0.00,0.00,0.00
5,0.10,0.00,0.00,0.00
6,0.10,0.00,0.00,0.00
7,0.10,0.00,0.00,0.00
8,0.11,0.00,0.00,0.00
1,0.11,0.00,0.00,0.00
2,0.11,0.00,0.00,0.00
3,0.11,0.00,9.62,0.00
4,0.11,0.00,10.57,0.00
5,0.11,0.00,7.95,0.00
6,0.11,0.00,13.11,0.00
7,0.11,0.00,12.82,0.00
8,0.12,0.00,14.91,0.00
1,0.12,0.00,13.99,0.00
2,0.12,-0.04,16.79,0.00
3,0.12,0.00,17.03,0.00
4,0.12,0.00,19.35,0.00
5,0.12,0.00,21.69,0.00
6,0.12,0.00,23.15,0.00
7,0.12,0.00,23.19,0.00
8,0.13,0.00,26.84,0.00
1,0.13,0.00,28.58,0.00
2,0.13,0.00,29.96,0.00
3,0.13,0.00,32.26,0.00
4,0.13,0.00,33.83,0.00
5,0.13,0.00,34.73,0.00
6,0.13,0.00,37.39,0.00
7,0.13,0.00,40.98,0.00
8,0.14,0.00,42.91,0.00
1,0.14,0.00,41.85,0.04
2,0.14,0.00,46.80,0.00
3,0.14,0.00,49.67,0.00
4,0.14,0.00,54.24,1.34
5,0.14,0.00,53.29,0.00
6,0.14,0.00,58.18,3.71
7,0.14,0.00,57.48,12.80
8,0.15,0.00,62.01,14.23
1,0.15,0.00,64.62,18.14
2,0.15,0.00,68.94,24.04
3,0.15,0.00,69.31,25.34
4,0.15,0.00,73.93,30.24
5,0.15,0.00,73.64,34.11
6,0.15,0.00,77.94,39.12
7,0.15,0.00,80.44,40.46
8,0.16,0.00,82.77,44.44
1,0.16,0.00,87.07,49.28
2,0.16,0.00,87.32,54.64
3,0.16,0.00,92.00,55.91
4,0.16,0.00,96.12,62.68
5,0.16,0.00,97.77,64.90
6,0.16,0.00,101.84,67.75
7,0.16,0.00,102.51,74.59
8,0.17,0.00,106.97,76.05
1,0.17,0.00,107.28,80.87
2,0.17,0.00,114.14,83.92
3,0.17,0.00,114.34,89.68
4,0.17,0.00,117.83,93.24
5,0.17,0.00,121.93,95.90
6,0.17,0.00,124.88,99.30
7,0.17,0.09,127.00,103.58
8,0.18,0.00,129.09,105.25
1,0.18,0.00,131.45,110.04
2,0.18,0.00,136.95,113.26
3,0.18,0.00,138.12,116.54
4,0.18,0.00,141.87,122.04
5,0.18,0.00,145.49,126.53
6,0.18,0.00,148.69,129.53
7,0.18,0.00,152.32,131.75
8,0.19,0.00,153.55,137.92
1,0.19,0.00,159.98,140.27
2,0.19,0.36,161.03,144.18
3,0.19,0.00,163.29,146.87
4,0.19,1.95,166.64,149.87
5,0.19,0.00,172.47,156.12
6,0.19,0.00,172.47,157.16
7,0.19,0.00,177.13,162.07
8,0.20,0.00,177.14,163.09
1,0.20,0.00,182.78,169.55
2,0.20,0.00,187.02,170.34
3,0.20,0.00,189.57,174.66
4,0.20,0.00,194.25,180.19
5,0.20,0.00,194.13,182.45
6,0.20,0.00,200.80,183.50
7,0.20,0.00,202.27,190.99
8,0.21,0.00,205.27,191.72
1,0.21,0.00,208.63,195.06
2,0.21,0.00,210.62,200.28
3,0.21,0.00,214.57,202.43
4,0.21,0.00,218.75,207.24
5,0.21,0.00,223.14,210.73
6,0.21,0.21,224.90,215.45
7,0.21,0.00,227.38,215.58
8,0.22,0.00,233.42,222.70
1,0.22,0.00,234.59,223.67
2,0.22,2.94,235.70,227.06
3,0.22,12.21,241.68,233.72
4,0.22,19.54,244.79,234.89
5,0.22,22.20,246.17,236.00
6,0.22,26.96,249.88,242.83
7,0.22,31.18,251.91,243.78
8,0.23,34.70,258.14,246.99
1,0.23,40.38,257.17,250.86
2,0.23,43.40,264.85,252.20
3,0.23,51.04,265.87,259.47
4,0.23,52.34,267.86,260.88
5,0.23,58.20,273.61,264.55
6,0.23,59.13,273.42,266.70
7,0.23,64.80,280.58,271.08
8,0.24,71.09,281.38,271.87
1,0.24,70.89,283.90,277.05
2,0.24,76.72,288.95,280.29
3,0.24,81.37,289.37,284.32
4,0.24,83.88,296.65,285.25
5,0.24,89.36,297.25,290.24
6,0.24,91.81,299.13,291.88
7,0.24,94.24,302.48,293.46
8,0.25,97.09,305.07,298.34
1,0.25,99.90,309.90,299.80
2,0.25,103.82,311.44,305.03
3,0.25,108.57,317.43,307.19
4,0.25,110.30,317.85,308.89
5,0.25,114.25,322.61,314.87
